stop_id,stop_name,stop_lat,stop_lon,location_type
100000351,Tornio På Gränsen Rajala,65.843294,24.145138,
100083169,Lappia Yrkesskola (FIN),65.851575,24.136419,
100083170,Torneå Badhus (FIN),65.839901,24.177823,
100083171,Torppi Handelsområde (FIN),65.843543,24.183867,
510000051,Krakow Gl,50.067987,19.947349,
510000937,Katowice Sadowa,50.258993,19.011149,
510005320,Wroclaw Dworzec autobusowy,53.615125,17.597224,
540099998,Praha UAN Florenc,50.089402,14.440369,
740000001,Stockholm Centralstation,59.330140,18.058155,
740000002,Göteborg Centralstation,57.708895,11.973479,
740000003,Malmö Centralstation,55.609458,13.000913,
740000004,Alvesta station,56.898781,14.556319,
740000005,Uppsala Centralstation,59.858534,17.646086,
740000006,Hässleholm Centralstation,56.157760,13.763139,
740000007,Norrköping Centralstation,58.596627,16.183347,
740000008,Skövde Centralstation,58.390897,13.853194,
740000009,Linköping Centralstation,58.416635,15.624963,
740000011,Teckomatorp station,55.870590,13.086124,
740000012,Vargön station,58.359221,12.392534,
740000014,Stenungsund station,58.072592,11.824760,
740000015,Boxholm station,58.193654,15.054149,
740000016,Vara station,58.260825,12.951876,
740000017,Hasslö Fabian Månsons väg,56.112498,15.470073,
740000018,Alingsås station,57.926861,12.532494,
740000019,Leksand station,60.733992,15.003328,
740000020,Kalmar Centralstation,56.661282,16.360067,
740000021,Kinnared station,57.026158,13.105522,
740000022,Perstorp station,56.136360,13.397194,
740000023,Säffle station,59.132229,12.916875,
740000024,Söderbärke station,60.072478,15.537072,
740000025,Storlien station,63.316083,12.099118,
740000026,Säter station,60.346490,15.757055,
740000027,Märsta station,59.628181,17.861620,
740000028,Ystad station,55.427317,13.824574,
740000029,Lönsboda busstation,56.396506,14.320810,
740000030,Falun Centralstation,60.603289,15.641625,
740000031,Flemingsberg station,59.217958,17.945683,
740000032,Bräcke station,62.750053,15.417085,
740000034,Forserum station,57.697835,14.473974,
740000035,Axvall centrum,58.388538,13.574720,
740000036,Floby station,58.139308,13.335301,
740000037,Ånn station,63.321229,12.538907,
740000038,Marstrand färjeläge,57.886695,11.588768,
740000039,Mellerud station,58.701861,12.464744,
740000040,Herrljunga station,58.079187,13.021275,
740000041,Tranås station,58.037967,14.975025,
740000042,Hedemora station,60.274000,15.980318,
740000043,Sollefteå station,63.166988,17.264907,
740000044,Helsingborg Centralstation,56.044404,12.694262,
740000045,Älmhult station,56.551426,14.136985,
740000046,Ramnäs station,59.769763,16.208185,
740000048,Charlottenberg station,59.883972,12.297648,
740000049,Södertälje hamn station,59.179302,17.646538,
740000050,Nyköping Centralstation,58.755685,16.994784,
740000051,Sollerön centrum,60.915526,14.617197,
740000052,Värnamo station,57.186284,14.035723,
740000053,Skellefteå busstation,64.753594,20.949227,
740000054,Hällevadsholm station,58.579860,11.535763,
740000055,Södertälje Syd station,59.162411,17.645368,
740000056,Överby station,58.843340,11.259379,
740000057,Trönninge,56.618004,12.946502,
740000058,Laholm station,56.501909,12.999604,
740000059,Björkliden station,68.406593,18.686674,
740000060,Falköping Centralstation,58.176101,13.553794,
740000062,Smedjebacken station,60.136321,15.405814,
740000063,Enafors station,63.289992,12.337211,
740000064,Ängelholm station,56.245202,12.854194,
740000065,Dingle station,58.529479,11.578971,
740000066,Nol station,57.918462,12.061958,
740000067,Läggesta station,59.248419,17.168022,
740000069,Ronneby station,56.206976,15.282939,
740000070,Karlstad Centralstation,59.377797,13.499048,
740000071,Gårdsjö station,58.871916,14.333548,
740000072,Enköping station,59.644324,17.086745,
740000073,Karlshamn station,56.176511,14.868018,
740000074,Kristineberg Lycksele,65.060466,18.573732,
740000075,Skee station,58.923379,11.261880,
